symbol,name
NSE:AKASH-EQ,AKASH INFRA-PROJECTS LTD
NSE:MUNJALAU-EQ,MUNJAL AUTO IND. LTD.
NSE:EMAMILTD-EQ,EMAMI LIMITED
NSE:NECCLTD-EQ,NORTH EAST CARRY CORP LTD
NSE:GMRAIRPORT-EQ,GMR AIRPORTS LIMITED
NSE:VIDHIING-EQ,VIDHI SPCLTY F INGRDNTS L
NSE:TECHM-EQ,TECH MAHINDRA LIMITED
NSE:AVONMORE-EQ,AVONMORE CAP&MGT SERV LTD
NSE:GRINDWELL-EQ,GRINDWELL NORTON LIMITED
NSE:RAMANEWS-EQ,SHREE RAMA NEWSPRINT LTD
NSE:VOLTAMP-EQ,VOLTAMP TRANSFORMERS LTD
NSE:RADIANTCMS-EQ,RADIANT CASH MGMT SER LTD
NSE:ACE-EQ,ACTION CONST EQUIP LTD
NSE:ANTELOPUS-EQ,ANTELOPUS SELAN ENRGY LTD
NSE:ANDHRSUGAR-EQ,ANDHRA SUGARS LTD
NSE:HIMATSEIDE-EQ,HIMATSINGKA SEIDE LTD
NSE:IRCTC-EQ,INDIAN RAIL TOUR CORP LTD
NSE:ANANTRAJ-EQ,ANANT RAJ LIMITED
NSE:BILVYAPAR-EQ,BIL VYAPAR LIMITED
NSE:HINDALCO-EQ,HINDALCO  INDUSTRIES  LTD
NSE:SKYGOLD-EQ,SKY GOLD AND DIAMONDS LTD
NSE:JMFINANCIL-EQ,JM FINANCIAL LIMITED
NSE:ELECON-EQ,ELECON ENG. CO. LTD
NSE:BANKETFADD-EQ,DSPAMC - DSPBANKETF
NSE:TALBROAUTO-EQ,TALBROS AUTO. COMP. LTD
NSE:ALICON-EQ,ALICON CASTALLOY LIMITED
NSE:GEECEE-EQ,GEECEE VENTURES LIMITED
NSE:MADHUCON-EQ,MADHUCON PROJECTS LTD.
NSE:NRL-EQ,NUPUR RECYCLERS LIMITED
NSE:ACLGATI-EQ,ALLCARGO GATI LIMITED
NSE:AERONEU-EQ,AEROFLEX NEU LIMITED
NSE:VISHWARAJ-EQ,VISHWARAJ SUGAR IND LTD
NSE:FIEMIND-EQ,FIEM INDUSTRIES LIMITED
NSE:HINDCOMPOS-EQ,HINDUSTAN COMPOSITES LTD.
NSE:JHS-EQ,JHS SVEND. LAB. LTD
NSE:DCBBANK-EQ,DCB BANK LIMITED
NSE:INSPIRISYS-EQ,INSPIRISYS SOLUTIONS LTD
NSE:GLOBALVECT-EQ,GLOBAL VEC HELICORP LTD
NSE:SHYAMTEL-EQ,SHYAM TELECOM LIMITED
NSE:GTLINFRA-EQ,GTL INFRA.LTD
NSE:HCC-EQ,HINDUSTAN CONSTRUCTION CO
NSE:FLUOROCHEM-EQ,GUJARAT FLUOROCHEM LTD
NSE:NAUKRI-EQ,INFO EDGE (I) LTD
NSE:MANOMAY-EQ,MANOMAY TEX INDIA LTD
NSE:SHIVAMAUTO-EQ,SHIVAM AUTO.LTD
NSE:BBL-EQ,BHARAT BIJLEE LTD
NSE:GESHIP-EQ,THE GE SHPG.LTD
NSE:TORNTPOWER-EQ,TORRENT POWER LTD
NSE:PARSVNATH-EQ,PARSVNATH DEVELOPER LTD
NSE:BAIDFIN-EQ,BAID FINSERV LIMITED
NSE:MANALIPETC-EQ,MANALI PETROCHEMICALS LT
NSE:SUTLEJTEX-EQ,SUTLEJ TEXT & INDUS LTD
NSE:GREENPANEL-EQ,GREENPANEL INDUSTRIES LTD
NSE:KAMOPAINTS-EQ,KAMDHENU VENTURES LIMITED
NSE:LTFOODS-EQ,LT FOODS LIMITED
NSE:RUCHIRA-EQ,RUCHIRA PAPERS LIMITED
NSE:SOBHA-EQ,SOBHA LIMITED
NSE:DONEAR-EQ,DONEAR IND. LIMITED
NSE:MMFL-EQ,MM FORGINGS LTD
NSE:VENUSREM-EQ,VENUS REMEDIES LIMITED
NSE:AARTIPHARM-EQ,AARTI PHARMALABS LIMITED
NSE:KUANTUM-EQ,KUANTUM PAPERS LIMITED
NSE:JINDRILL-EQ,JINDAL DRILLING IND. LTD
NSE:BANCOINDIA-EQ,BANCO PRODUCTS (I) LTD
NSE:HIRECT-EQ,HIND RECTIFIER LIMITED
NSE:CREST-EQ,CREST VENTURES LIMITED
NSE:PLASTIBLEN-EQ,PLASTIBLENDS INDIA LTD
NSE:NFL-EQ,NATIONAL FERT. LTD
NSE:HINDUNILVR-EQ,HINDUSTAN UNILEVER LTD.
NSE:LIQUID1-EQ,KOTAKMAMC - KOTAKLIQ
NSE:PARACABLES-EQ,PARAMOUNT COMM LTD
NSE:HBLENGINE-EQ,HBL ENGINEERING LTD
